Name,X,Y,lay,hi,h0,RC,STO,NameReal,onMap
P0,739525,4555875,1,2.00,739.6,50,0.025,Ptb2,1
SM,739575,4555925,1,2.00,742.3,50,0.025,ilex,1
W1,741177,4554666,1,2.00,780.3,50,0.025,Pvs0,0
O1,739425,4556175,1,2.00,736.4,50,0.025,DRN1_L1,2
O2,739325,4555925,1,2.00,736.2,50,0.025,DRN2_L1,2
H3,740730,4553470,1,2.00,999.9,50,0.025,GHB1_L2,0
H4,741775,4555170,1,2.00,999.9,50,0.025,GHB2_L2,0
C1,740528,4554369,1,2.00,770.9,50,0.025,NA,1
C2,740695,4554630,1,2.00,767.0,50,0.025,NA,1
C3,740320,4555219,1,2.00,752.0,50,0.025,NA,1
C4,740764,4555342,1,2.00,767.5,50,0.025,NA,1
C5,741583,4554574,1,2.00,788.1,50,0.025,NA,1
C6,741177,4554000,1,2.00,785.2,50,0.025,NA,0
EC,739625,4555925,1,2.00,745.4,50,0.025,NA,1
I1,741600,4554000,1,2.00,999.9,50,0.025,NA,2
I2,742100,4554300,1,2.00,999.9,50,0.025,NA,0
G1,739552,4555658,3,2.00,999.9,50,0.025,NA,2
G2,740670,4554920,3,2.00,999.9,50,0.025,NA,2
G3,741130,4554918,3,2.00,999.9,50,0.025,NA,0
