DATE	TIME	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour
2005-10-01	01:00:00	0.0	19.6	41.0	100.5	0.6	0.0000	0.0	19.6	41.0	100.5	0.6	0.0000
2005-10-01	02:00:00	0.0	19.2	43.0	100.5	0.3	0.0000	0.0	19.2	43.0	100.5	0.3	0.0000
2005-10-01	03:00:00	0.0	18.3	44.0	100.5	0.5	0.0000	0.0	18.3	44.0	100.5	0.5	0.0000
2005-10-01	04:00:00	0.0	19.1	42.0	100.5	0.0	0.0000	0.0	19.1	42.0	100.5	0.0	0.0000
2005-10-01	05:00:00	0.0	19.1	45.0	100.5	0.3	0.0000	0.0	19.1	45.0	100.5	0.3	0.0000
2005-10-01	06:00:00	0.0	18.4	49.0	100.5	1.0	0.0000	0.0	18.4	49.0	100.5	1.0	0.0000
2005-10-01	07:00:00	0.0	17.3	49.0	100.6	0.7	0.0360	0.0	17.3	49.0	100.6	0.7	0.0360
2005-10-01	08:00:00	0.0	17.6	47.0	100.6	0.9	0.3924	0.0	17.6	47.0	100.6	0.9	0.3924
2005-10-01	09:00:00	0.0	21.1	41.0	100.6	1.1	0.9828	0.0	21.1	41.0	100.6	1.1	0.9828
2005-10-01	10:00:00	0.0	24.9	34.0	100.6	1.4	1.5768	0.0	24.9	34.0	100.6	1.4	1.5768
2005-10-01	11:00:00	0.0	27.7	30.0	100.6	1.3	2.0304	0.0	27.7	30.0	100.6	1.3	2.0304
2005-10-01	12:00:00	0.0	29.3	26.0	100.5	1.2	2.3076	0.0	29.3	26.0	100.5	1.2	2.3076
2005-10-01	13:00:00	0.0	30.7	22.0	100.4	1.5	2.3940	0.0	30.7	22.0	100.4	1.5	2.3940
2005-10-01	14:00:00	0.0	32.1	19.0	100.3	1.7	2.2572	0.0	32.1	19.0	100.3	1.7	2.2572
2005-10-01	15:00:00	0.0	32.9	18.0	100.2	1.6	1.9116	0.0	32.9	18.0	100.2	1.6	1.9116
2005-10-01	16:00:00	0.0	33.0	17.0	100.2	1.9	1.3968	0.0	33.0	17.0	100.2	1.9	1.3968
2005-10-01	17:00:00	0.0	33.1	14.0	100.1	2.2	0.8064	0.0	33.1	14.0	100.1	2.2	0.8064
2005-10-01	18:00:00	0.0	32.0	15.0	100.2	2.8	0.2304	0.0	32.0	15.0	100.2	2.8	0.2304
2005-10-01	19:00:00	0.0	29.2	18.0	100.2	1.6	0.0072	0.0	29.2	18.0	100.2	1.6	0.0072
2005-10-01	20:00:00	0.0	27.3	23.0	100.2	1.6	0.0000	0.0	27.3	23.0	100.2	1.6	0.0000
2005-10-01	21:00:00	0.0	25.9	30.0	100.3	1.7	0.0000	0.0	25.9	30.0	100.3	1.7	0.0000
2005-10-01	22:00:00	0.0	23.9	34.0	100.3	0.7	0.0000	0.0	23.9	34.0	100.3	0.7	0.0000
2005-10-01	23:00:00	0.0	22.2	38.0	100.3	0.2	0.0000	0.0	22.2	38.0	100.3	0.2	0.0000
2005-10-02	00:00:00	0.0	20.6	44.0	100.3	0.0	0.0000	0.0	20.6	44.0	100.3	0.0	0.0000
2005-10-02	01:00:00	0.0	19.2	48.0	100.3	0.1	0.0000	0.0	19.2	48.0	100.3	0.1	0.0000
2005-10-02	02:00:00	0.0	17.4	55.0	100.3	0.1	0.0000	0.0	17.4	55.0	100.3	0.1	0.0000
2005-10-02	03:00:00	0.0	15.6	58.0	100.3	0.1	0.0000	0.0	15.6	58.0	100.3	0.1	0.0000
2005-10-02	04:00:00	0.0	14.8	65.0	100.2	0.1	0.0000	0.0	14.8	65.0	100.2	0.1	0.0000
2005-10-02	05:00:00	0.0	14.1	66.0	100.2	0.0	0.0000	0.0	14.1	66.0	100.2	0.0	0.0000
2005-10-02	06:00:00	0.0	12.9	70.0	100.3	0.2	0.0000	0.0	12.9	70.0	100.3	0.2	0.0000
2005-10-02	07:00:00	0.0	13.2	77.0	100.3	0.1	0.0396	0.0	13.2	77.0	100.3	0.1	0.0396
2005-10-02	08:00:00	0.0	15.1	71.0	100.3	0.3	0.3924	0.0	15.1	71.0	100.3	0.3	0.3924
2005-10-02	09:00:00	0.0	19.4	60.0	100.3	2.6	0.9936	0.0	19.4	60.0	100.3	2.6	0.9936
2005-10-02	10:00:00	0.0	22.4	46.0	100.3	2.7	1.5768	0.0	22.4	46.0	100.3	2.7	1.5768
2005-10-02	11:00:00	0.0	24.7	38.0	100.3	2.7	2.0304	0.0	24.7	38.0	100.3	2.7	2.0304
2005-10-02	12:00:00	0.0	27.0	32.0	100.3	2.8	2.3112	0.0	27.0	32.0	100.3	2.8	2.3112
2005-10-02	13:00:00	0.0	28.7	28.0	100.2	3.1	2.4012	0.0	28.7	28.0	100.2	3.1	2.4012
2005-10-02	14:00:00	0.0	30.7	23.0	100.1	3.7	2.2608	0.0	30.7	23.0	100.1	3.7	2.2608
2005-10-02	15:00:00	0.0	31.2	22.0	100.1	4.5	1.9188	0.0	31.2	22.0	100.1	4.5	1.9188
2005-10-02	16:00:00	0.0	31.2	20.0	100.0	4.4	1.4112	0.0	31.2	20.0	100.0	4.4	1.4112
2005-10-02	17:00:00	0.0	30.9	22.0	100.0	4.1	0.7848	0.0	30.9	22.0	100.0	4.1	0.7848
2005-10-02	18:00:00	0.0	29.2	27.0	100.1	4.4	0.2196	0.0	29.2	27.0	100.1	4.4	0.2196
2005-10-02	19:00:00	0.0	27.2	30.0	100.1	4.0	0.0036	0.0	27.2	30.0	100.1	4.0	0.0036
2005-10-02	20:00:00	0.0	25.8	33.0	100.2	3.3	0.0000	0.0	25.8	33.0	100.2	3.3	0.0000
2005-10-02	21:00:00	0.0	24.9	32.0	100.3	3.2	0.0000	0.0	24.9	32.0	100.3	3.2	0.0000
2005-10-02	22:00:00	0.0	23.7	33.0	100.3	3.0	0.0000	0.0	23.7	33.0	100.3	3.0	0.0000
2005-10-02	23:00:00	0.0	23.1	33.0	100.3	3.4	0.0000	0.0	23.1	33.0	100.3	3.4	0.0000
2005-10-03	00:00:00	0.0	22.2	33.0	100.3	3.6	0.0000	0.0	22.2	33.0	100.3	3.6	0.0000
2005-10-03	01:00:00	0.0	21.6	35.0	100.3	3.4	0.0000	0.0	21.6	35.0	100.3	3.4	0.0000
2005-10-03	02:00:00	0.0	20.1	39.0	100.4	3.4	0.0000	0.0	20.1	39.0	100.4	3.4	0.0000
2005-10-03	03:00:00	0.0	18.9	40.0	100.3	2.3	0.0000	0.0	18.9	40.0	100.3	2.3	0.0000
2005-10-03	04:00:00	0.0	16.9	43.0	100.4	0.3	0.0000	0.0	16.9	43.0	100.4	0.3	0.0000
2005-10-03	05:00:00	0.0	16.2	42.0	100.4	0.7	0.0000	0.0	16.2	42.0	100.4	0.7	0.0000
2005-10-03	06:00:00	0.0	15.6	42.0	100.5	1.1	0.0000	0.0	15.6	42.0	100.5	1.1	0.0000
2005-10-03	07:00:00	0.0	15.7	39.0	100.5	2.1	0.0360	0.0	15.7	39.0	100.5	2.1	0.0360
2005-10-03	08:00:00	0.0	17.1	35.0	100.6	2.5	0.3852	0.0	17.1	35.0	100.6	2.5	0.3852
2005-10-03	09:00:00	0.0	18.4	33.0	100.6	2.8	0.4032	0.0	18.4	33.0	100.6	2.8	0.4032
2005-10-03	10:00:00	0.0	19.1	32.0	100.7	3.9	0.8964	0.0	19.1	32.0	100.7	3.9	0.8964
