DATE	TIME	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour
2005-10-01	01:00:00	0	19.6	41	100.5	0.6	0	0.00	19.87466816	41.22175224	100.5	0.597277616	0
2005-10-01	02:00:00	0	19.2	43	100.5	0.3	0	0.00	18.09457827	40.6373886	100.5	0.293373935	0
2005-10-01	03:00:00	0	18.3	44	100.5	0.5	0	0.00	17.83925504	48.38183264	100.5	0.507736324	0
2005-10-01	04:00:00	0	19.1	42	100.5	0	0	0.00	19.11743073	44.9914063	100.5	0	0
2005-10-01	05:00:00	0	19.1	45	100.5	0.3	0	0.00	19.84301226	41.94012262	100.5	0.272736881	0
2005-10-01	06:00:00	0	18.4	49	100.5	1	0	0.00	17.60247538	45.71371149	100.5	0.940207771	0
2005-10-01	07:00:00	0	17.3	49	100.6	0.7	0.036	0.00	18.91216601	46.89435246	100.6	0.756406665	0.036138584
2005-10-01	08:00:00	0	17.6	47	100.6	0.9	0.3924	0.00	19.26936618	51.60247826	100.6	0.825189033	0.405929883
2005-10-01	09:00:00	0	21.1	41	100.6	1.1	0.9828	0.00	19.30195865	39.94798603	100.6	1.163717748	0.90682553
2005-10-01	10:00:00	0	24.9	34	100.6	1.4	1.5768	0.00	24.02588573	33.04180632	100.6	1.371273124	1.456840679
2005-10-01	11:00:00	0	27.7	30	100.6	1.3	2.0304	0.00	30.39345955	29.86789102	100.6	1.299498225	1.948863143
2005-10-01	12:00:00	0	29.3	26	100.5	1.2	2.3076	0.00	28.14007375	24.81225684	100.5	1.089117298	2.246791237
2005-10-01	13:00:00	0	30.7	22	100.4	1.5	2.394	0.00	32.28546201	21.09462225	100.4	1.617264072	2.617404595
2005-10-01	14:00:00	0	32.1	19	100.3	1.7	2.2572	0.00	30.5015166	17.97280434	100.3	1.58909737	2.086074139
2005-10-01	15:00:00	0	32.9	18	100.2	1.6	1.9116	0.00	33.63167611	16.79150704	100.2	1.704257159	1.974296385
2005-10-01	16:00:00	0	33	17	100.2	1.9	1.3968	0.00	31.56040081	15.98186363	100.2	2.044579907	1.523209917
2005-10-01	17:00:00	0	33.1	14	100.1	2.2	0.8064	0.00	34.1750877	14.91765605	100.1	2.217307909	0.799238203
2005-10-01	18:00:00	0	32	15	100.2	2.8	0.2304	0.00	30.45905288	16.47508532	100.2	2.664846346	0.216338291
2005-10-01	19:00:00	0	29.2	18	100.2	1.6	0.0072	0.00	29.57447921	17.30827254	100.2	1.740212016	0.007888291
2005-10-01	20:00:00	0	27.3	23	100.2	1.6	0	0.00	28.22694167	24.15147759	100.2	1.638064965	0
2005-10-01	21:00:00	0	25.9	30	100.3	1.7	0	0.00	28.09837894	30.06322267	100.3	1.713507776	0
2005-10-01	22:00:00	0	23.9	34	100.3	0.7	0	0.00	26.24139149	34.17476009	100.3	0.736282975	0
2005-10-01	23:00:00	0	22.2	38	100.3	0.2	0	0.00	22.14616746	34.48350199	100.3	0.19798676	0
2005-10-02	00:00:00	0	20.6	44	100.3	0	0	0.00	21.0742847	43.170485	100.3	0	0
2005-10-02	01:00:00	0	19.2	48	100.3	0.1	0	0.00	20.59056414	50.8708686	100.3	0.096476382	0
2005-10-02	02:00:00	0	17.4	55	100.3	0.1	0	0.00	16.63971746	52.02359613	100.3	0.095370355	0
2005-10-02	03:00:00	0	15.6	58	100.3	0.1	0	0.00	14.30071472	60.47146721	100.3	0.093626941	0
2005-10-02	04:00:00	0	14.8	65	100.2	0.1	0	0.00	14.21682002	63.99202094	100.2	0.105428732	0
2005-10-02	05:00:00	0	14.1	66	100.2	0	0	0.00	15.12605123	72.0112834	100.2	0	0
2005-10-02	06:00:00	0	12.9	70	100.3	0.2	0	0.00	12.70738479	65.55669613	100.3	0.202867214	0
2005-10-02	07:00:00	0	13.2	77	100.3	0.1	0.0396	0.00	13.63099594	77.81459168	100.3	0.096573321	0.039863806
2005-10-02	08:00:00	0	15.1	71	100.3	0.3	0.3924	0.00	15.66515017	74.60931168	100.3	0.312101989	0.385161246
2005-10-02	09:00:00	0	19.4	60	100.3	2.6	0.9936	0.00	18.19315086	59.61163362	100.3	2.55966294	0.959832195
2005-10-02	10:00:00	0	22.4	46	100.3	2.7	1.5768	0.00	22.25435303	43.66306996	100.3	2.643517044	1.657786348
2005-10-02	11:00:00	0	24.7	38	100.3	2.7	2.0304	0.00	26.49832403	35.37131896	100.3	2.674148916	2.093755289
2005-10-02	12:00:00	0	27	32	100.3	2.8	2.3112	0.00	28.38839041	33.38812798	100.3	2.635515213	2.47261551
2005-10-02	13:00:00	0	28.7	28	100.2	3.1	2.4012	0.00	30.20465001	25.95035384	100.2	3.398606423	2.305174606
2005-10-02	14:00:00	0	30.7	23	100.1	3.7	2.2608	0.00	31.23160632	24.42996725	100.1	3.589417507	2.356470697
2005-10-02	15:00:00	0	31.2	22	100.1	4.5	1.9188	0.00	33.46923568	21.03859879	100.1	4.470601757	2.097178599
2005-10-02	16:00:00	0	31.2	20	100	4.4	1.4112	0.00	30.95041622	21.07367093	100	4.767148033	1.417926322
2005-10-02	17:00:00	0	30.9	22	100	4.1	0.7848	0.00	32.55268751	21.69582305	100	3.776452367	0.834592959
2005-10-02	18:00:00	0	29.2	27	100.1	4.4	0.2196	0.00	30.24259094	28.27887159	100.1	4.6555566	0.216888884
2005-10-02	19:00:00	0	27.2	30	100.1	4	0.0036	0.00	26.08527339	31.46019596	100.1	4.060468509	0.003508546
2005-10-02	20:00:00	0	25.8	33	100.2	3.3	0	0.00	26.08100966	36.10292075	100.2	3.471410937	0
2005-10-02	21:00:00	0	24.9	32	100.3	3.2	0	0.00	23.94802357	32.35215964	100.3	2.907804809	0
2005-10-02	22:00:00	0	23.7	33	100.3	3	0	0.00	21.37790635	30.66223557	100.3	2.720389637	0
2005-10-02	23:00:00	0	23.1	33	100.3	3.4	0	0.00	24.51195201	31.61484872	100.3	3.082765057	0
2005-10-03	00:00:00	0	22.2	33	100.3	3.6	0	0.00	22.11029394	35.4795872	100.3	3.760742854	0
