DATE	TIME	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour	RF_mm	Ta_2m_dC	RHa_2m_%	Pa_kPa	u_2m_m/s	RS_MJ/m2/hour
2005-10-01	01:00:00	0	19.6	41	100.5	0.6	0	0.00	19.58125644	39.1985081	100.5	0.64941987	0
2005-10-01	02:00:00	0	19.2	43	100.5	0.3	0	0.00	17.73937802	45.66101713	100.5	0.313023402	0
2005-10-01	03:00:00	0	18.3	44	100.5	0.5	0	0.00	18.39811295	46.36217881	100.5	0.537881082	0
2005-10-01	04:00:00	0	19.1	42	100.5	0	0	0.00	19.31364754	42.11464238	100.5	0	0
2005-10-01	05:00:00	0	19.1	45	100.5	0.3	0	0.00	19.17025673	45.22767822	100.5	0.278445777	0
2005-10-01	06:00:00	0	18.4	49	100.5	1	0	0.00	18.92088324	47.09801474	100.5	0.95796855	0
2005-10-01	07:00:00	0	17.3	49	100.6	0.7	0.036	0.00	16.5215362	46.74270879	100.6	0.663583717	0.034749239
2005-10-01	08:00:00	0	17.6	47	100.6	0.9	0.3924	0.00	16.50537656	47.89962454	100.6	0.826271749	0.356751716
2005-10-01	09:00:00	0	21.1	41	100.6	1.1	0.9828	0.00	22.61097609	41.55452471	100.6	0.9944751	0.911074534
2005-10-01	10:00:00	0	24.9	34	100.6	1.4	1.5768	0.00	24.53689332	37.08200438	100.6	1.276149974	1.553080811
2005-10-01	11:00:00	0	27.7	30	100.6	1.3	2.0304	0.00	28.74315826	32.87327119	100.6	1.219342439	2.188037523
2005-10-01	12:00:00	0	29.3	26	100.5	1.2	2.3076	0.00	29.15037879	25.51497556	100.5	1.282527749	2.252977185
2005-10-01	13:00:00	0	30.7	22	100.4	1.5	2.394	0.00	30.2192944	22.85569649	100.4	1.369647356	2.539048612
2005-10-01	14:00:00	0	32.1	19	100.3	1.7	2.2572	0.00	30.03820542	19.35275226	100.3	1.770762931	2.155443427
