Date	Time	RF_mm	AirT_6m	RH_6m	Pa_kPa	WS_6m	S_in
2008-05-31	16:00:00	0	17.55	67.81	92.48	2.24	0.55
2008-05-31	17:00:00	0	17.17	67.47	92.49	2.92	0.59
2008-05-31	18:00:00	0	17.34	66.08	92.45	2.71	0.57
2008-05-31	19:00:00	0	17.66	65.07	92.40	2.58	0.32
2008-05-31	20:00:00	0	17.60	64.84	92.40	2.74	0.26
2008-05-31	21:00:00	0.2	17.26	62.61	92.52	2.45	0.07
2008-05-31	22:00:00	2	15.60	72.36	92.55	0.53	0.00
2008-05-31	23:00:00	1	13.49	87.05	92.57	1.06	0.00
2008-06-01	0:00:00	0	13.46	87.99	92.58	0.26	0.00
2008-06-01	1:00:00	0	12.40	94.19	92.61	0.26	0.00
2008-06-01	2:00:00	0	11.97	95.22	92.63	0.18	0.00
2008-06-01	3:00:00	0	11.25	94.54	92.59	0.18	0.00
2008-06-01	4:00:00	0	10.89	94.61	92.61	0.16	0.00
2008-06-01	5:00:00	0	10.33	95.62	92.59	0.27	0.00
2008-06-01	6:00:00	0.2	9.96	97.49	92.58	0.25	0.00
2008-06-01	7:00:00	0	9.24	99.93	92.58	0.15	0.00
2008-06-01	8:00:00	0	8.45	104.13	92.62	0.09	0.04
2008-06-01	9:00:00	0	9.60	101.06	92.65	0.17	0.12
2008-06-01	10:00:00	0	10.86	92.86	92.69	1.28	0.16
2008-06-01	11:00:00	0	12.10	84.54	92.69	1.56	0.30
2008-06-01	12:00:00	0	13.46	75.89	92.68	1.90	0.34
2008-06-01	13:00:00	0	14.47	70.85	92.70	2.82	0.57
2008-06-01	14:00:00	0	14.81	66.94	92.71	3.27	0.70
2008-06-01	15:00:00	0	15.56	62.71	92.62	3.12	0.91
2008-06-01	16:00:00	0	15.51	63.96	92.58	3.18	0.92
2008-06-01	17:00:00	0	15.57	63.85	92.58	3.86	0.81
2008-06-01	18:00:00	0	16.13	57.79	92.56	4.50	0.76
2008-06-01	19:00:00	0	16.16	56.32	92.58	3.83	0.58
2008-06-01	20:00:00	0	16.47	57.39	92.56	3.66	0.30
