# generated by code/tools/gis_to_dataset.py on 2026-09-09 22:05
# source   : E:\00code_ws\LAMATA_new\GIS\lm_ponds.shp
# size     : 3460 bytes, mtime 2026-07-22 20:34
# crs      : EPSG:23029
# features : 12
# dem_mean_m / dem_min_m sampled from lm_demfill over each footprint;
# the model sets rim = dem_mean and bottom = rim - pond depth.
fid,x,y,area_m2,perimeter_m,dem_mean_m,dem_min_m
1,740520.486,4554366.939,1017.9,115.8,771.04,770.90
2,740621.798,4554485.905,631.5,91.6,768.72,768.60
3,740688.392,4554626.909,1014.4,115.7,765.94,765.70
4,741350.391,4553874.197,2036.0,164.6,787.46,786.90
5,741128.646,4554272.896,1571.3,148.5,776.89,776.40
7,740929.357,4554660.158,697.3,96.3,766.95,766.80
8,742093.670,4554878.081,1456.9,138.5,794.53,794.50
9,740760.968,4555340.954,1310.5,130.3,767.50,767.30
10,740311.119,4555224.477,1548.6,147.8,754.10,754.10
11,741580.952,4554571.309,691.8,95.1,787.36,787.30
12,741478.618,4554527.307,341.2,67.7,784.06,783.80
13,740302.983,4555047.765,950.6,143.2,755.36,755.10
