# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
0,0,739673.621,4556665.123
0,1,739673.621,4556630.123
0,2,739633.621,4556585.123
0,3,739623.621,4556465.123
0,4,739578.621,4556415.123
1,0,739463.621,4556305.123
1,1,739483.621,4556335.123
1,2,739533.621,4556385.123
1,3,739558.621,4556390.123
1,4,739563.621,4556405.123
1,5,739578.621,4556415.123
2,0,739578.621,4556415.123
2,1,739578.621,4556390.123
2,2,739663.621,4556310.123
2,3,739663.621,4556300.123
2,4,739673.621,4556290.123
3,0,739463.621,4556305.123
3,1,739458.621,4556275.123
3,2,739438.621,4556240.123
3,3,739418.621,4556175.123
4,0,739418.621,4556175.123
4,1,739418.621,4556165.123
4,2,739433.621,4556160.123
4,3,739448.621,4556140.123
4,4,739468.621,4556130.123
4,5,739493.621,4556130.123
4,6,739533.621,4556085.123
4,7,739566.121,4556072.623
5,0,739318.621,4556055.123
5,1,739383.621,4556130.123
5,2,739408.621,4556170.123
5,3,739418.621,4556175.123
6,0,739313.621,4556050.123
6,1,739313.621,4556055.123
6,2,739318.621,4556055.123
7,0,739313.621,4556050.123
7,1,739313.621,4556045.123
8,0,739313.621,4556045.123
8,1,739313.621,4556040.123
9,0,739313.621,4556040.123
9,1,739313.621,4556035.123
10,0,739313.621,4556035.123
10,1,739313.621,4556030.123
11,0,739313.621,4556030.123
11,1,739313.621,4556025.123
12,0,739313.621,4556025.123
12,1,739313.621,4556020.123
13,0,739313.621,4556020.123
13,1,739313.621,4556015.123
14,0,739313.621,4556015.123
14,1,739313.621,4556010.123
15,0,739313.621,4556010.123
15,1,739313.621,4556005.123
16,0,739313.621,4556005.123
16,1,739313.621,4556000.123
17,0,739313.621,4556000.123
17,1,739313.621,4555995.123
18,0,739313.621,4555995.123
18,1,739313.621,4555990.123
19,0,739313.621,4555990.123
19,1,739313.621,4555985.123
20,0,739313.621,4555985.123
20,1,739313.621,4555980.123
21,0,739313.621,4555980.123
21,1,739318.621,4555980.123
22,0,739228.621,4555965.123
22,1,739233.621,4555965.123
22,2,739248.621,4555985.123
22,3,739278.621,4556000.123
22,4,739288.621,4556030.123
22,5,739313.621,4556050.123
23,0,739813.621,4555955.123
23,1,739828.621,4555965.123
23,2,739843.621,4555965.123
23,3,739873.621,4555990.123
23,4,739903.621,4555985.123
23,5,739953.621,4556000.123
23,6,740008.621,4556005.123
23,7,740073.621,4556060.123
23,8,740093.621,4556070.123
23,9,740113.621,4556070.123
23,10,740128.621,4556080.123
23,11,740153.621,4556080.123
23,12,740163.621,4556090.123
23,13,740193.621,4556090.123
23,14,740198.621,4556085.123
23,15,740228.621,4556085.123
23,16,740238.621,4556080.123
24,0,739566.121,4556072.623
24,1,739588.621,4556060.123
24,2,739623.621,4556025.123
24,3,739638.621,4556020.123
24,4,739663.621,4555990.123
24,5,739678.621,4555985.123
24,6,739698.621,4555965.123
24,7,739708.621,4555965.123
24,8,739718.621,4555955.123
24,9,739733.621,4555950.123
24,10,739753.621,4555950.123
24,11,739758.621,4555955.123
24,12,739798.621,4555955.123
24,13,739803.621,4555950.123
24,14,739813.621,4555955.123
25,0,739813.621,4555955.123
25,1,739813.621,4555950.123
25,2,739823.621,4555945.123
25,3,739823.621,4555935.123
25,4,739853.621,4555905.123
25,5,739903.621,4555905.123
26,0,739313.621,4555980.123
26,1,739313.621,4555900.123
26,2,739293.621,4555875.123
26,3,739273.621,4555835.123
26,4,739268.621,4555810.123
26,5,739258.621,4555795.123
26,6,739258.621,4555780.123
26,7,739243.621,4555765.123
26,8,739233.621,4555740.123
26,9,739233.621,4555725.123
26,10,739213.621,4555695.123
27,0,739318.621,4555980.123
27,1,739333.621,4555945.123
27,2,739343.621,4555935.123
27,3,739348.621,4555910.123
27,4,739358.621,4555910.123
27,5,739403.621,4555875.123
27,6,739418.621,4555875.123
27,7,739428.621,4555865.123
27,8,739443.621,4555865.123
27,9,739453.621,4555855.123
27,10,739453.621,4555835.123
27,11,739488.621,4555800.123
27,12,739488.621,4555750.123
27,13,739503.621,4555735.123
27,14,739508.621,4555705.123
27,15,739518.621,4555695.123
27,16,739518.621,4555675.123
27,17,739503.621,4555655.123
27,18,739503.621,4555635.123
27,19,739508.621,4555630.123
27,20,739508.621,4555575.123
27,21,739503.621,4555565.123
27,22,739518.621,4555550.123
27,23,739523.621,4555475.123
