# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# per-segment parameters resolved from the [sfr] producers.
# "drainage:a=..,b=.." means the MODEL computes w = a*A**b from its
# own flow accumulation -- see the module docstring.
seg_id,grid_code,length_m,width_m,manning,rhk,rbth
0,1,282.89,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
1,1,166.10,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
2,2,165.87,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
3,1,138.73,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
4,1,193.20,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
5,1,157.60,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
6,1,10.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
7,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
8,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
9,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
10,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
11,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
12,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
13,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
14,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
15,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
16,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
17,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
18,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
19,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
20,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
21,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
22,2,127.18,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
23,2,472.85,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
24,2,299.47,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
25,2,118.61,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
26,1,314.45,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
27,1,974.18,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
28,2,429.46,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
29,2,41.21,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
30,2,10.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
31,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
32,1,255.59,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
33,1,110.59,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
34,1,105.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
35,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
36,2,685.37,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
37,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
38,1,138.90,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
39,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
40,1,10.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
41,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
42,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
43,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
44,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
45,1,750.28,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
46,2,841.20,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
47,1,200.56,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
48,1,495.75,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
49,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
50,1,10.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
51,1,152.22,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
52,2,372.72,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
53,2,357.68,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
54,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
55,2,816.80,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
56,2,188.99,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
57,2,240.14,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
58,1,335.83,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
59,1,318.68,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
60,1,75.66,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
61,1,497.34,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
62,2,31.62,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
63,2,160.46,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
64,1,184.13,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
65,1,117.88,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
66,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
67,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
68,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
69,2,7.07,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
70,1,11.18,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
71,2,101.06,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
72,2,194.43,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
73,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
74,2,102.68,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
75,2,304.52,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
76,1,361.23,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
77,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
78,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
79,1,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
80,1,29.14,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
81,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
82,2,270.41,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
83,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
84,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
85,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
86,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
87,2,5.00,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
88,1,186.36,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
89,2,254.98,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
90,1,32.60,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
91,2,46.50,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
92,2,281.76,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
93,2,603.58,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
94,2,451.50,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
95,2,631.42,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
96,2,49.34,"drainage:a=0.5,b=0.35",0.035,0.1,0.5
