# generated by code/tools/gis_to_dataset.py on 2026-09-11 13:06
# source   : E:\00code_ws\LAMATA_new\GIS\lm_lim.shp
# size     : 5388 bytes, mtime 2014-12-26 15:40
# crs      : EPSG:23029
# features : 1
# catchment boundary in EPSG:23029 -- the Voronoi domain (WP1c).
ring_id,seq,x,y
0,0,739337.700,4555910.300
0,1,739332.700,4555931.300
0,2,739293.435,4556005.952
0,3,739302.400,4556036.000
0,4,739325.100,4556067.900
0,5,739349.928,4556091.795
0,6,739372.841,4556117.684
0,7,739395.272,4556148.765
0,8,739424.042,4556179.683
0,9,739494.890,4556175.987
0,10,739517.685,4556157.505
0,11,739576.828,4556161.818
0,12,739608.726,4556164.937
0,13,739688.047,4556160.027
0,14,739742.660,4556100.800
0,15,739744.934,4556072.501
0,16,739737.965,4556060.011
0,17,739756.907,4556051.559
0,18,739780.366,4556033.187
0,19,739801.217,4556044.820
0,20,739828.939,4556034.640
0,21,739851.838,4556061.218
0,22,739873.521,4556073.316
0,23,739952.926,4556063.758
0,24,740013.503,4556069.937
0,25,740039.935,4556091.800
0,26,740065.492,4556089.747
0,27,740098.131,4556115.309
0,28,740108.503,4556119.937
0,29,740128.007,4556133.766
0,30,740148.503,4556139.937
0,31,740163.131,4556145.309
0,32,740208.073,4556157.542
0,33,740233.131,4556175.309
0,34,740266.882,4556196.448
0,35,740293.171,4556226.962
0,36,740316.426,4556239.937
0,37,740337.577,4556231.831
0,38,740339.924,4556202.623
0,39,740337.798,4556176.169
0,40,740353.317,4556174.922
0,41,740392.676,4556178.084
0,42,740437.763,4556164.510
0,43,740438.820,4556151.365
0,44,740409.771,4556116.247
0,45,740428.131,4556094.937
0,46,740452.079,4556087.727
0,47,740458.131,4556034.937
0,48,740483.532,4556030.303
0,49,740480.989,4555998.657
0,50,740488.131,4555974.937
0,51,740501.039,4555963.816
0,52,740493.503,4555889.937
0,53,740474.899,4555866.182
0,54,740468.503,4555844.937
0,55,740463.131,4555835.309
0,56,740458.503,4555824.937
0,57,740450.817,4555812.623
0,58,740433.412,4555788.572
0,59,740445.928,4555752.153
0,60,740453.412,4555745.218
0,61,740459.183,4555732.989
0,62,740483.412,4555715.218
0,63,740488.222,4555705.027
0,64,740493.412,4555695.218
0,65,740499.450,4555657.315
0,66,740521.850,4555645.461
0,67,740552.231,4555635.843
0,68,740566.367,4555628.363
0,69,740602.901,4555658.096
0,70,740623.222,4555665.218
0,71,740697.819,4555671.179
0,72,740723.159,4555688.615
0,73,740758.412,4555680.218
0,74,740780.211,4555665.218
0,75,740813.737,4555648.063
0,76,740845.828,4555616.975
0,77,740885.941,4555579.870
0,78,740921.041,4555542.766
0,79,740945.109,4555507.666
0,80,740971.182,4555468.556
0,81,740994.247,4555420.420
0,82,741036.366,4555366.267
0,83,741080.491,4555342.199
0,84,741115.590,4555335.179
0,85,741143.670,4555340.193
0,86,741184.786,4555345.207
0,87,741210.859,4555363.258
0,88,741230.916,4555394.346
0,89,741240.945,4555444.488
0,90,741243.953,4555474.573
0,91,741248.412,4555490.027
0,92,741276.503,4555509.357
0,93,741359.190,4555512.635
0,94,741388.222,4555505.027
0,95,741505.785,4555499.896
0,96,741502.216,4555409.836
0,97,741509.386,4555375.563
0,98,741483.412,4555351.497
0,99,741488.222,4555345.027
0,100,741526.672,4555339.773
0,101,741565.847,4555307.891
0,102,741652.857,4555316.130
0,103,741711.430,4555309.897
0,104,741732.946,4555278.629
0,105,741739.262,4555232.414
0,106,741758.126,4555222.432
0,107,741780.025,4555212.097
0,108,741846.615,4555131.333
0,109,741833.222,4555080.218
0,110,741828.412,4555055.027
0,111,741823.222,4555040.218
0,112,741818.412,4555020.027
0,113,741793.222,4554990.218
0,114,741759.963,4554943.042
0,115,741701.211,4554896.841
0,116,741685.445,4554858.457
0,117,741701.148,4554866.767
0,118,741809.308,4554871.054
0,119,741892.225,4554864.937
0,120,741932.650,4554845.859
0,121,741943.461,4554830.147
0,122,741930.007,4554797.393
0,123,741948.412,4554755.218
0,124,741953.222,4554740.027
0,125,741958.597,4554724.691
0,126,741956.840,4554680.357
0,127,741986.489,4554673.294
0,128,741994.102,4554641.332
0,129,742013.412,4554635.218
0,130,742023.222,4554630.027
0,131,742043.412,4554625.218
0,132,742052.874,4554615.006
0,133,742062.654,4554615.394
0,134,742078.412,4554605.218
0,135,742098.222,4554590.027
0,136,742114.993,4554582.112
0,137,742138.308,4554567.056
0,138,742144.005,4554466.156
0,139,742158.412,4554445.218
0,140,742163.222,4554405.027
0,141,742168.412,4554380.218
0,142,742173.222,4554350.027
0,143,742211.919,4554306.250
0,144,742223.222,4554252.231
0,145,742218.217,4554182.295
0,146,742196.641,4554172.112
0,147,742175.440,4554158.422
0,148,742138.412,4554130.027
0,149,742069.641,4554121.798
0,150,742058.222,4554100.218
0,151,742053.412,4554060.028
0,152,742044.627,4554043.425
0,153,742036.697,4553968.915
0,154,742004.888,4553931.273
0,155,741993.412,4553895.028
0,156,741983.222,4553880.218
0,157,741978.412,4553815.028
0,158,741957.904,4553768.034
0,159,741958.575,4553751.124
0,160,741946.591,4553720.352
0,161,741938.241,4553720.021
0,162,741918.940,4553726.786
0,163,741903.412,4553710.028
0,164,741895.159,4553702.380
0,165,741888.412,4553660.028
0,166,741883.222,4553645.218
0,167,741878.412,4553630.028
0,168,741868.222,4553625.218
0,169,741851.412,4553613.651
0,170,741802.747,4553600.086
0,171,741809.176,4553553.041
0,172,741828.452,4553535.181
0,173,741823.222,4553515.218
0,174,741816.103,4553485.332
0,175,741803.317,4553484.826
0,176,741769.635,4553486.160
0,177,741748.715,4553466.777
0,178,741742.432,4553446.930
0,179,741703.395,4553397.289
0,180,741659.888,4553382.040
0,181,741633.956,4553410.028
0,182,741610.656,4553402.905
0,183,741591.553,4553342.570
0,184,741578.222,4553330.218
0,185,741573.412,4553320.028
0,186,741538.222,4553315.218
0,187,741519.818,4553305.479
0,188,741493.317,4553304.429
0,189,741468.317,4553305.420
0,190,741457.331,4553282.141
0,191,741411.838,4553243.697
0,192,741383.222,4553225.218
0,193,741378.412,4553220.028
0,194,741358.497,4553207.167
0,195,741358.020,4553195.123
0,196,741358.943,4553171.832
0,197,741300.817,4553169.528
0,198,741275.817,4553170.519
0,199,741234.091,4553168.865
0,200,741208.222,4553175.028
0,201,741190.983,4553181.069
0,202,741180.509,4553158.876
0,203,741155.759,4553132.164
0,204,741127.141,4553110.218
0,205,741082.497,4553116.548
0,206,741052.939,4553140.603
0,207,741028.932,4553139.651
0,208,741009.784,4553149.784
0,209,740993.222,4553155.028
0,210,740983.412,4553160.218
0,211,740957.144,4553170.447
0,212,740914.519,4553199.778
0,213,740876.289,4553201.293
0,214,740854.837,4553193.774
0,215,740725.772,4553198.890
0,216,740660.425,4553185.218
0,217,740633.222,4553190.028
0,218,740588.412,4553230.218
0,219,740573.024,4553240.155
0,220,740588.412,4553245.028
0,221,740614.042,4553265.886
0,222,740641.076,4553278.644
0,223,740678.326,4553305.966
0,224,740693.311,4553334.285
0,225,740698.222,4553370.218
0,226,740708.222,4553389.116
0,227,740701.843,4553423.734
0,228,740688.412,4553449.116
0,229,740693.222,4553480.218
0,230,740708.021,4553501.725
0,231,740685.817,4553517.004
0,232,740665.518,4553503.036
0,233,740611.881,4553549.556
0,234,740583.222,4553555.028
0,235,740543.412,4553590.218
0,236,740515.003,4553608.563
0,237,740398.222,4553730.028
0,238,740393.412,4553770.218
0,239,740383.656,4553788.656
0,240,740375.032,4553815.895
0,241,740330.143,4553888.615
0,242,740283.221,4553895.028
0,243,740268.412,4553900.218
0,244,740236.609,4553906.290
0,245,740213.221,4553935.028
0,246,740208.412,4553950.218
0,247,740203.221,4553955.028
0,248,740153.412,4554010.218
0,249,740127.935,4554022.242
0,250,740103.412,4554035.218
0,251,740070.817,4554037.623
0,252,740073.040,4554040.399
0,253,740086.923,4554051.516
0,254,740116.641,4554088.627
0,255,740124.663,4554134.726
0,256,740116.905,4554175.866
0,257,740103.040,4554194.846
0,258,740097.111,4554215.584
0,259,740075.585,4554245.053
0,260,740038.815,4554251.451
0,261,740023.593,4554260.399
0,262,739998.263,4554271.073
0,263,739993.593,4554350.399
0,264,739988.040,4554359.846
0,265,739983.593,4554405.399
0,266,739978.040,4554409.846
0,267,739963.870,4554433.176
0,268,739939.619,4554443.395
0,269,739888.040,4554449.846
0,270,739853.593,4554480.399
0,271,739845.817,4554482.623
0,272,739848.267,4554485.173
0,273,739863.367,4554490.073
0,274,739875.641,4554496.396
0,275,739897.737,4554526.203
0,276,739904.125,4554565.447
0,277,739989.744,4554656.537
0,278,740008.267,4554700.173
0,279,740053.367,4554750.073
0,280,740058.267,4554761.053
0,281,740048.267,4554800.073
0,282,740043.367,4554850.173
0,283,740021.856,4554876.820
0,284,740008.445,4554889.705
0,285,740001.223,4554904.591
0,286,739988.215,4554950.711
0,287,739970.717,4554967.523
0,288,739960.517,4554978.139
0,289,739953.235,4555000.580
0,290,739925.817,4555000.021
0,291,739917.961,4555000.181
0,292,739918.747,4555038.690
0,293,739912.202,4555064.228
0,294,739879.654,4555104.548
0,295,739867.607,4555110.393
0,296,739798.267,4555120.073
0,297,739778.367,4555125.173
0,298,739758.267,4555130.073
0,299,739722.776,4555139.169
0,300,739650.396,4555124.344
0,301,739619.729,4555134.841
0,302,739598.267,4555140.073
0,303,739578.367,4555155.173
0,304,739543.267,4555160.073
0,305,739535.817,4555162.623
0,306,739532.899,4555209.164
0,307,739491.657,4555257.646
0,308,739483.458,4555310.263
0,309,739468.458,4555331.737
0,310,739473.176,4555370.263
0,311,739481.895,4555411.073
0,312,739449.643,4555450.382
0,313,739459.738,4555507.185
0,314,739448.176,4555534.982
0,315,739443.458,4555560.263
0,316,739436.544,4555592.623
0,317,739443.458,4555624.982
0,318,739448.176,4555655.263
0,319,739456.703,4555679.026
0,320,739452.998,4555701.860
0,321,739449.301,4555728.351
0,322,739439.444,4555793.038
0,323,739419.730,4555840.476
0,324,739375.989,4555873.127
0,325,739358.123,4555891.609
0,326,739337.700,4555910.300
