Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-01-01,3.1,0.9,0.1,0.000386597938144,0.270102694229,0.0,0.0,0.0,0.0,221.991111111,,
2002-01-02,13.4,1.5,10.4,0.0676521482092,0.280754599231,0.0,0.0,0.0,0.0,221.982232099,,
2002-01-03,4.2,1.3,1.2,0.0649551100945,0.281924748602,0.0,0.0,0.0,0.0,221.973362952,,
2002-01-04,0.1,1.1,0.0,0.0546550977583,0.28186840314,0.0,0.0,0.0,0.0,221.96450366,,
2002-01-05,0.0,1.3,0.0,0.0642871836761,0.281802127693,0.0,0.0,0.0,0.0,221.955654211,,
2002-01-06,0.0,1.3,0.0,0.0639281916711,0.281736222341,0.0,0.0,0.0,0.0,221.946814596,,
2002-01-07,0.0,1.3,0.0,0.0635712043464,0.281670685017,0.0,0.0,0.0,0.0,221.937984802,,
2002-01-08,0.0,0.9,0.0,0.043765068813,0.281625566389,0.0,0.0,0.0,0.0,221.929164818,,
2002-01-09,0.1,1.0,0.0,0.0484398599549,0.281575628389,0.0,0.0,0.0,0.0,221.920354635,,
2002-01-10,0.0,1.3,0.0,0.0627013204416,0.281510987853,0.0,0.0,0.0,0.0,221.911554241,,
2002-01-11,0.0,0.9,0.0,0.0431662044475,0.281466486611,0.0,0.0,0.0,0.0,221.902763625,,
2002-01-12,0.0,0.9,0.0,0.0429993247912,0.28142215741,0.0,0.0,0.0,0.0,221.893982777,,
2002-01-13,0.0,1.1,0.0,0.0523515547966,0.281368186735,0.0,0.0,0.0,0.0,221.885211685,,
2002-01-14,0.1,1.3,0.0,0.0615776781485,0.281304704593,0.0,0.0,0.0,0.0,221.876450339,,
2002-01-15,0.1,1.2,0.0,0.0565235229635,0.28124643292,0.0,0.0,0.0,0.0,221.867698727,,
2002-01-16,0.0,1.3,0.0,0.0609181783142,0.281183630674,0.0,0.0,0.0,0.0,221.85895684,,
2002-01-17,0.0,1.4,0.0,0.0652378455975,0.281116375163,0.0,0.0,0.0,0.0,221.850224665,221.86,
2002-01-18,0.0,1.2,0.0,0.0555818758146,0.28105907426,0.0,0.0,0.0,0.0,221.841502194,,
2002-01-19,0.0,1.1,0.0,0.0506874236918,0.281006819184,0.0,0.0,0.0,0.0,221.832789413,,
2002-01-20,0.0,1.6,0.0,0.0733787945604,0.280931170942,0.0,0.0,0.0,0.0,221.824086314,,
2002-01-21,5.2,1.3,2.2,0.0714957326382,0.283125505238,0.0,0.0,0.0,0.0,221.815392885,,
2002-01-22,3.0,0.3,0.0,0.0164068815481,0.283108590928,0.0,0.0,0.0,0.0,221.806709115,,
2002-01-23,23.7,0.8,20.7,0.114829323711,0.304330416367,0.0,0.0,0.0,0.0,221.798034994,,
2002-01-24,0.0,1.4,0.0,0.200260762141,0.304123961973,0.0,0.0,0.0,0.0,221.78937051,,
2002-01-25,0.0,0.9,0.0,0.127964857399,0.30399203944,0.0,0.0,0.0,0.0,221.780715654,,
2002-01-26,0.0,0.8,0.0,0.113306798132,0.303875228308,0.0,0.0,0.0,0.0,221.772070415,,
2002-01-27,0.0,1.7,0.0,0.239949533846,0.303627857654,0.0,0.0,0.0,0.0,221.763434781,,
